Daily Time Spent on Site,Age,Area Income,Daily Internet Usage,Ad Topic Line,City,Male,Country,Timestamp,Clicked on Ad
68.95,35,61833.9,256.09,Cloned 5thgeneration orchestration,Wrightburgh,0,Tunisia,27-03-2016 00:53,0
80.23,31,68441.85,193.77,Monitored national standardization,West Jodi,1,Nauru,04-04-2016 01:39,0
69.47,26,59785.94,236.5,Organic bottom-line service-desk,Davidton,0,San Marino,13-03-2016 20:35,0
74.15,29,54806.18,245.89,Triple-buffered reciprocal time-frame,West Terrifurt,1,Italy,10-01-2016 02:31,0
68.37,35,73889.99,225.58,Robust logistical utilization,South Manuel,0,Iceland,03-06-2016 03:36,0
76.38,23,71319.06,273.3,Optimized content strategy,South Manuel,1,France,02-01-2016 06:00,0
52.21,31,60210.51,240.36,Monitored national standardization,Davidton,0,San Marino,02-01-2016 12:00,1
52.77,58,61289.72,143.92,Vision-oriented solution,Wrightburgh,0,Tunisia,02-01-2016 18:00,1
54.07,22,32658.97,288.58,Vision-oriented solution,West Terrifurt,1,India,03-01-2016 00:00,1
38.57,26,34797.65,212.27,Robust logistical utilization,Millerport,1,France,03-01-2016 06:00,0
89.84,26,50571.58,118.18,Cloned 5thgeneration orchestration,West Jodi,0,San Marino,03-01-2016 12:00,1
65.78,42,42897.16,299.22,Robust logistical utilization,Wrightburgh,0,Iceland,03-01-2016 18:00,1
36.69,45,29489.47,100.65,Robust logistical utilization,Davidton,0,Iceland,04-01-2016 00:00,0
39.17,28,52362.74,255.73,Cloned 5thgeneration orchestration,Lake Jose,1,Tunisia,04-01-2016 06:00,0
85.75,37,34367.14,148.17,Monitored national standardization,West Jodi,1,Nauru,04-01-2016 12:00,0
37.7,48,76810.92,133.03,Optimized content strategy,West Terrifurt,0,Iceland,04-01-2016 18:00,1
89.71,59,42405.23,279.92,Advanced mobile framework,West Jodi,0,Italy,05-01-2016 00:00,0
50.29,55,53235.29,217.69,Cloned 5thgeneration orchestration,West Jodi,0,Italy,05-01-2016 06:00,0
84.33,39,24251.44,147.6,Advanced mobile framework,West Terrifurt,0,Canada,05-01-2016 12:00,0
77.08,44,31424.59,119.39,Optimized content strategy,Lake Jose,1,India,05-01-2016 18:00,1
81.83,21,60401.87,296.83,Monitored national standardization,Wrightburgh,1,France,06-01-2016 00:00,0
44.92,30,52177.15,128.04,Organic bottom-line service-desk,South Manuel,1,Italy,06-01-2016 06:00,0
56.59,53,25874.52,230.43,Cloned 5thgeneration orchestration,West Jodi,0,San Marino,06-01-2016 12:00,1
59.14,31,71879.02,280.49,Organic bottom-line service-desk,Millerport,0,India,06-01-2016 18:00,1
85.59,47,37114.95,239.32,Advanced mobile framework,Davidton,0,Iceland,07-01-2016 00:00,0
88.12,55,64144.23,112.19,Vision-oriented solution,Wrightburgh,0,Canada,07-01-2016 06:00,0
33.41,50,24806.69,137.16,Monitored national standardization,West Terrifurt,1,Nauru,07-01-2016 12:00,0
64.74,20,57162.89,183.84,Vision-oriented solution,South Manuel,0,France,07-01-2016 18:00,0
45.94,26,60301.41,160.0,Vision-oriented solution,West Jodi,0,Canada,08-01-2016 00:00,0
34.4,31,50353.08,126.49,Vision-oriented solution,West Jodi,0,France,08-01-2016 06:00,1
39.46,52,62212.4,222.34,Cloned 5thgeneration orchestration,South Manuel,0,San Marino,08-01-2016 12:00,1
36.93,24,64545.0,131.09,Robust logistical utilization,West Terrifurt,1,Italy,08-01-2016 18:00,1
60.32,34,74320.19,269.22,Monitored national standardization,Millerport,1,Tunisia,09-01-2016 00:00,0
